fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2016-06-30,USD,118056000000,43524000000,10017000000,10017000000,1685000000,26547000000,64926000000,11092000000,19044000000,41570000000,5148000000,36422000000,None,14526000000,600000000,4676000000,2957000000,102167000000,33585000000,5484000000,None,4887000000,301000000,68583000000,None,44224000000,4586000000,39638000000,44224000000,11508000000,8385000000,15733000000,157298000000,148071000000,53565000000,957400000
2016-09-30,USD,115606000000,41433000000,9039000000,9039000000,1729000000,25196000000,64851000000,11104000000,19738000000,41282000000,4881000000,36401000000,None,14011000000,929000000,4539000000,3487000000,98447000000,34447000000,5271000000,None,6920000000,359000000,64000000000,None,42124000000,6561000000,35563000000,42124000000,10815000000,8138000000,17010000000,158170000000,149585000000,53759000000,954000000
2016-12-31,USD,117470000000,43888000000,7826000000,8527000000,1553000000,29245000000,36199000000,10830000000,19303000000,36199000000,4688000000,36199000000,None,13606000000,701000000,4564000000,729000000,99078000000,36275000000,6209000000,None,7513000000,1274000000,66491000000,None,40893000000,6239000000,34655000000,40893000000,11035000000,7477000000,18246000000,159050000000,152759000000,53935000000,945867403
2017-03-31,USD,117495000000,42889000000,10096000000,10695000000,1609000000,25869000000,63625000000,10865000000,19816000000,40743000000,4436000000,36307000000,None,13051000000,599000000,4715000000,3491000000,99047000000,36481000000,5324000000,None,8340000000,285000000,62566000000,None,42498000000,8055000000,34441000000,42498000000,12351000000,7601000000,18327000000,160359000000,153292000000,54104000000,942400000
2017-06-30,USD,120495000000,45013000000,11696000000,12295000000,1604000000,26958000000,63942000000,10903000000,20388000000,40696000000,4179000000,36517000000,None,13055000000,599000000,4155000000,4015000000,101951000000,35966000000,5126000000,None,8061000000,227000000,65986000000,None,45446000000,7834000000,37612000000,45446000000,11541000000,7437000000,18419000000,161860000000,154234000000,54235000000,934900000
2017-09-30,USD,121636000000,44742000000,10915000000,11515000000,1711000000,27126000000,64832000000,11057000000,20880000000,40763000000,3981000000,36782000000,None,13265000000,600000000,4389000000,4521000000,101879000000,31697000000,5442000000,None,4299000000,407000000,70183000000,None,45218000000,3892000000,41327000000,45218000000,10649000000,7723000000,19627000000,162812000000,155565000000,54395000000,929437441
2017-12-31,USD,125356000000,49735000000,11972000000,12580000000,1583000000,None,36788000000,11116000000,21215000000,36788000000,3742000000,36788000000,None,14469000000,608000000,3942000000,572000000,107631000000,37363000000,6451000000,None,6987000000,1773000000,70268000000,None,45052000000,5214000000,39837000000,45052000000,11552000000,9965000000,17594000000,163507000000,153126000000,54566000000,922179225
2018-03-31,USD,125285000000,49122000000,11949000000,12842000000,1753000000,29229000000,65516000000,11278000000,21497000000,40253000000,3521000000,36732000000,None,11798000000,893000000,4986000000,7722000000,106995000000,35733000000,5736000000,None,5977000000,2219000000,67410000000,None,44168000000,3758000000,40410000000,44168000000,13059000000,10250000000,18166000000,164334000000,156371000000,54712000000,920680222
2018-06-30,USD,121622000000,46795000000,10741000000,11707000000,1742000000,28340000000,67621000000,11024000000,21209000000,39826000000,3344000000,36482000000,966000000,11301000000,966000000,4787000000,7988000000,102974000000,35442000000,5518000000,None,7646000000,2199000000,67532000000,None,43298000000,5447000000,37851000000,43298000000,11752000000,10000000000,18520000000,165366000000,157349000000,54827000000,915064434
2018-09-30,USD,121990000000,48257000000,11563000000,14495000000,1893000000,27087000000,67024000000,10949000000,21535000000,39660000000,3134000000,36526000000,2932000000,10451000000,2932000000,4615000000,8236000000,102071000000,36822000000,5384000000,None,10932000000,4159000000,65249000000,None,42762000000,6773000000,35989000000,42762000000,10704000000,9979000000,19784000000,165995000000,158612000000,54987000000,911152848
