ticker,fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
IBM,2016-06-30,9702000000.0,20238000000.0,10536000000.0,10536000000.0,2490000000.0,5349000000.0,1465000000.0,7212000000.0,0.0,-167000000.0,0.0,167000000.0,0.0,-37000000.0,705000000.0,398000000.0,3048000000.0,544000000.0,167000000.0,2505000000.0,2899000000.0,2490000000.0,2888000000.0,2504000000.0
IBM,2016-09-30,9013000000.0,19226000000.0,10213000000.0,10213000000.0,2515000000.0,4732000000.0,1397000000.0,6498000000.0,0.0,-158000000.0,0.0,158000000.0,0.0,8000000.0,724000000.0,403000000.0,3262000000.0,409000000.0,158000000.0,2854000000.0,3293000000.0,2515000000.0,2918000000.0,2853000000.0
IBM,2016-12-31,11115000000.0,21770000000.0,10655000000.0,10877000000.0,4755000000.0,4776000000.0,1406000000.0,6360000000.0,0.0,-157000000.0,0.0,157000000.0,0.0,137000000.0,731000000.0,396000000.0,4981000000.0,480000000.0,157000000.0,4506000000.0,3268000000.0,4755000000.0,5151000000.0,4501000000.0
IBM,2017-03-31,7944000000.0,18155000000.0,10211000000.0,10383000000.0,1043000000.0,5027000000.0,1484000000.0,6901000000.0,0.0,-135000000.0,0.0,135000000.0,0.0,28000000.0,709000000.0,390000000.0,1421000000.0,-329000000.0,135000000.0,1753000000.0,2438000000.0,1043000000.0,1433000000.0,1750000000.0
IBM,2017-06-30,8968000000.0,19289000000.0,10321000000.0,10495000000.0,2111000000.0,5033000000.0,1436000000.0,6857000000.0,0.0,-147000000.0,0.0,147000000.0,0.0,76000000.0,730000000.0,388000000.0,2442000000.0,111000000.0,147000000.0,2332000000.0,2852000000.0,2111000000.0,2499000000.0,2331000000.0
IBM,2017-09-30,8981000000.0,19153000000.0,10172000000.0,10353000000.0,2701000000.0,4606000000.0,1291000000.0,6281000000.0,0.0,-168000000.0,0.0,168000000.0,0.0,114000000.0,792000000.0,384000000.0,3065000000.0,339000000.0,168000000.0,2726000000.0,3394000000.0,2701000000.0,3085000000.0,2726000000.0
IBM,2017-12-31,11049000000.0,22542000000.0,11493000000.0,11681000000.0,4298000000.0,5014000000.0,1378000000.0,6751000000.0,0.0,-164000000.0,0.0,164000000.0,0.0,-2000000.0,790000000.0,359000000.0,4468000000.0,5522000000.0,164000000.0,-1053000000.0,-125000000.0,4298000000.0,4657000000.0,-1054000000.0
IBM,2018-03-31,8247000000.0,19072000000.0,10825000000.0,10825000000.0,1057000000.0,5445000000.0,1405000000.0,7190000000.0,0.0,-165000000.0,0.0,165000000.0,0.0,-413000000.0,774000000.0,340000000.0,1139000000.0,-540000000.0,165000000.0,1675000000.0,2109000000.0,1057000000.0,1397000000.0,1679000000.0
IBM,2018-06-30,9199000000.0,20003000000.0,10804000000.0,10804000000.0,2636000000.0,4857000000.0,1364000000.0,6563000000.0,0.0,-173000000.0,0.0,173000000.0,0.0,-280000000.0,773000000.0,342000000.0,2777000000.0,373000000.0,173000000.0,2402000000.0,2697000000.0,2636000000.0,2978000000.0,2404000000.0
IBM,2018-09-30,8803000000.0,18756000000.0,9953000000.0,9953000000.0,2841000000.0,4363000000.0,1252000000.0,5963000000.0,0.0,-192000000.0,-1000000.0,191000000.0,0.0,-275000000.0,790000000.0,348000000.0,2998000000.0,304000000.0,192000000.0,2692000000.0,3164000000.0,2841000000.0,3189000000.0,2694000000.0
IBM,2018-12-31,10687000000.0,21761000000.0,11073000000.0,11073000000.0,4306000000.0,4701000000.0,1358000000.0,6381000000.0,0.0,-193000000.0,0.0,193000000.0,0.0,-184000000.0,790000000.0,322000000.0,4432000000.0,2481000000.0,193000000.0,1953000000.0,282000000.0,4306000000.0,4628000000.0,1951000000.0
IBM,2019-03-31,8043000000.0,18182000000.0,10139000000.0,10139000000.0,1710000000.0,4691000000.0,1433000000.0,6333000000.0,0.0,-210000000.0,0.0,210000000.0,0.0,73000000.0,1143000000.0,303000000.0,1880000000.0,289000000.0,210000000.0,1593000000.0,1899000000.0,1710000000.0,2013000000.0,1591000000.0
IBM,2019-06-30,9010000000.0,19161000000.0,10151000000.0,74000000.0,2252000000.0,5456000000.0,1407000000.0,6758000000.0,0.0,-348000000.0,0.0,348000000.0,0.0,0.0,987000000.0,307000000.0,2767000000.0,269000000.0,348000000.0,2499000000.0,2839000000.0,2252000000.0,2559000000.0,2498000000.0
IBM,2019-09-30,8336000000.0,18028000000.0,9692000000.0,75000000.0,1260000000.0,5024000000.0,1553000000.0,7075000000.0,0.0,-432000000.0,0.0,432000000.0,0.0,0.0,1058000000.0,611000000.0,1521000000.0,-151000000.0,432000000.0,1673000000.0,1427000000.0,1260000000.0,1871000000.0,1672000000.0
IBM,2019-12-31,11100000000.0,21777000000.0,10677000000.0,387000000.0,4089000000.0,5433000000.0,1596000000.0,7011000000.0,0.0,-354000000.0,0.0,354000000.0,0.0,0.0,1021000000.0,629000000.0,3994000000.0,324000000.0,354000000.0,3669000000.0,4159000000.0,4089000000.0,4718000000.0,3670000000.0
IBM,2020-03-31,7922000000.0,17571000000.0,9649000000.0,76000000.0,-145000000.0,5955000000.0,1625000000.0,8067000000.0,0.0,-326000000.0,0.0,326000000.0,0.0,-182000000.0,1012000000.0,622000000.0,-51000000.0,-1226000000.0,326000000.0,1176000000.0,489000000.0,-145000000.0,477000000.0,1175000000.0
IBM,2020-06-30,8700000000.0,18123000000.0,9423000000.0,117000000.0,2121000000.0,5248000000.0,1582000000.0,6579000000.0,0.0,-323000000.0,0.0,323000000.0,0.0,-179000000.0,1056000000.0,623000000.0,1570000000.0,209000000.0,323000000.0,1362000000.0,1888000000.0,2121000000.0,2744000000.0,1361000000.0
IBM,2020-09-30,8430000000.0,17560000000.0,9130000000.0,64000000.0,1746000000.0,4647000000.0,1515000000.0,6684000000.0,0.0,-322000000.0,1000000.0,323000000.0,0.0,-253000000.0,1070000000.0,613000000.0,1826000000.0,128000000.0,322000000.0,1698000000.0,1870000000.0,1746000000.0,2359000000.0,1698000000.0
IBM,2020-12-31,10523000000.0,20367000000.0,9844000000.0,181000000.0,1511000000.0,7233000000.0,1611000000.0,9012000000.0,0.0,-317000000.0,0.0,317000000.0,0.0,-247000000.0,1089000000.0,610000000.0,1380000000.0,24000000.0,317000000.0,1264000000.0,603000000.0,1511000000.0,2121000000.0,1356000000.0
IBM,2021-03-31,8204000000.0,17730000000.0,9525000000.0,59000000.0,1084000000.0,5174000000.0,1630000000.0,7120000000.0,0.0,-280000000.0,0.0,280000000.0,0.0,-362000000.0,1052000000.0,620000000.0,904000000.0,-51000000.0,280000000.0,956000000.0,2036000000.0,1084000000.0,1704000000.0,955000000.0
